POS,Freq,Percent
NOUN,603224,18.590334273702194
PUNCT,445138,13.71839352865146
VERB,431888,13.310051139876222
ADP,318617,9.819232217690562
DET,287794,8.869319957372136
ADV,268896,8.286915846951423
ADJ,226819,6.99017451166873
PROPN,143495,4.422271024702095
CCONJ,122430,3.7730836722831977
PRON,120886,3.725500227130823
AUX,105642,3.2557061611315983
SCONJ,85019,2.6201404944363733
NUM,44825,1.3814300058000029
SPACE,33394,1.0291460928875693
INTJ,3994,0.1230882642089283
SYM,1833,0.056489931971698944
X,912,0.028106283665133354
PART,20,0.0006163658698494156
