Palavra,Polaridade
à-vontade,1
abafado,-1
abafante,-1
abaixado,-1
abalado,-1
abalizado,1
abalroado,-1
abalroar,1
abanar,1
abandalhado,-1
abandalhamento,-1
abandonado,-1
abandonar,-1
abarrotado,-1
abastado,1
abater,1
abatido,-1
abelhudo,-1
abençoado,1
aberração,-1
aberrante,-1
aberrativo,-1
aberto,1
abespinhado,-1
abestalhado,-1
abilolado,-1
abjeção,-1
abjecção,-1
abjecto,-1
abjeto,-1
abnegado,1
abobado,-1
abobalhado,-1
abolido,-1
abominador,-1
abominando,-1
abominável,-1
abonado,1
abonatório,1
aborrecer-se,-1
aborrecer,1
aborrecido,-1
abortado,-1
abraçado,1
abrilhantado,1
abrir a alma,1
abrir o coração,1
abrir os olhos,1
abrupto,-1
abrutalhado,-1
absentista,-1
absorvente,1
abstémico,1
abstémio,1
abstracto,-1
abstraído,-1
abstrato,-1
abstrusidade,-1
abstruso,-1
absurdo,-1
abulia,-1
abúlico,-1
abusado,-1
abusador,-1
abusar,-1
abusivo,-1
acabado,-1
acabadote,-1
acabrunhado,-1
acaciano,-1
açambarcador,-1
acanhado,-1
acanhamento,-1
acanhar-se,-1
acatado,1
acéfalo,-1
aceitável,1
acerado,-1
acerbidade,-1
acerbo,-1
acérrimo,-1
acertado,1
acertar na mosca,1
acertar na mouche,1
acessível,1
achacado,-1
achatado,-1
achegado,1
achincalhar,-1
acidentado,-1
aciganado,-1
acintoso,-1
acirrado,-1
acobardado,-1
acobardar-se,-1
acobertado,-1
acocado,-1
açoitado,-1
acolhedor,1
acomodadiço,-1
acomodar-se,-1
aconchegado,1
acordar com o rabo para o ar,-1
acordar com os pés de fora,-1
acorrentado,-1
acorrentar-se,-1
acorrentar,1
acossado,-1
acossar,1
açougueiro,-1
acre,-1
acreditado,1
acriançado,-1
acrítico,-1
activo,1
acudir,1
aculturado,-1
acurado,1
acusado,-1
acutilante,-1
adâmico,-1
adepto,1
adequado,1
adestrado,1
adiposo,-1
admirável,1
admoestador,-1
adoentado,-1
adorado,1
adorando,1
adorável,1
adormecido,-1
adulador,-1
adulterador,-1
adulterino,-1
adultério,-1
adúltero,-1
adverso,-1
aéreo,-1
afabilidade,1
afamado,1
afanado,-1
afasia,-1
afásico,-1
afável,1
afectado,-1
afectividade,1
afectivo,1
afecto,1
afectuoso,1
afeiçoado,1
afeminado,-1
afetado,-1
afetividade,1
afetivo,1
afeto,1
afetuoso,1
afiado,-1
afinado,1
afirmativo,1
aflição,-1
afligido,-1
afligir-se,-1
aflitivo,-1
aflito,-1
afobado,-1
afogado,-1
afogar as mágoas,-1
afogar-se em pouca água,-1
afogar-se,-1
afoiteza,1
afoito,1
afortunado,1
afrontado,-1
afrontar,1
afrontoso,-1
afugentar,1
afundado,-1
afundanço,-1
afundar-se,-1
afundar,1
agachado,-1
agarotado,-1
agarrado,-1
agarrar a oportunidade com unhas e dentes,1
agarrar a oportunidade,1
agarrar o touro pelos cornos,1
agarrar-se ao poder,-1
agastadiço,-1
agastado,-1
agastar-se,-1
ágil,1
agilidade,1
agiota,-1
agir de boa-fé,1
agir de má-fé,-1
agoirento,-1
agonia,-1
agoniado,-1
agoniante,-1
agoniar,-1
agonizante,-1
agoureiro,-1
agourento,-1
agradado,1
agradar,1
agradável,1
agrado,1
agravado,-1
agravar,-1
agre,-1
agredir,-1
agressividade ,-1
agressivo,-1
agressor,-1
agreste,-1
agrilhoado,-1
agrosseirado,-1
aguado,-1
aguçado,-1
aguentar-se bem,1
aguentar-se,1
airoso,1
ajudado,1
ajuizado,1
alapado,-1
alarmante,-1
alarmismo,-1
alarmista,-1
alarve,-1
alarvice,-1
albino,-1
alcoólatra,-1
alcoólico,-1
alcoolismo,-1
alcoolizado,-1
aldrabão,-1
alegado,-1
alegrar-se,1
alegre,1
alegria,1
aleijado,-1
aleivoso,-1
alentado,1
alentador,1
alento,1
algemado,-1
alheado,-1
alhear-se,-1
alheio,-1
alicerçado,1
aliciado,-1
aliciar,-1
alienação mental,-1
alienado,-1
alienígena,-1
alinhado,1
almo,1
alquebrado,-1
altamente,1
altaneiro,-1
altivo,-1
altruísmo,1
altruísta,1
altruístico,1
aluado,-1
alucinação,-1
alucinado,-1
alucinar,-1
alumbrado,-1
alumiado,1
alvoraçado,-1
amabilidade,1
amachucado,-1
amachucar,1
amado,1
amadorismo,-1
amadurecer,1
amadurecido,1
amaldiçoado,-1
amalucado,-1
amaneirado,-1
amarelado,-1
amarelo,-1
amargado,-1
amargo,-1
amargura,-1
amargurado,-1
amaricado,-1
amarrado,-1
amassado,-1
amável,1
ambiguidade,-1
ambíguo,-1
ambiopia,-1
ambliopia,-1
ameaça,-1
ameaçador,-1
ameaçante,-1
amedrontado,-1
amedrontador,-1
amedrontar,1
